,book_rank,book_poster,book_name,book_writer,book_rating,book_review,book_price
51,52,"https://images-eu.ssl-images-amazon.com/images/I/41atPf++R5L._AC_UL302_SR302,200_.jpg","Dear Stranger, You Deserve To Be Loved",,4.8,114,194.35
52,53,"https://images-eu.ssl-images-amazon.com/images/I/81NYuWzsJcS._AC_UL302_SR302,200_.jpg",The Richest Man in Babylon,George S. Clason,4.5,30693,98.00
53,54,"https://images-eu.ssl-images-amazon.com/images/I/71e9MY-XE9L._AC_UL302_SR302,200_.jpg",The Blue Umbrella,Ruskin Bond,4.5,12136,95.00
54,55,"https://images-eu.ssl-images-amazon.com/images/I/814jC+rODgL._AC_UL302_SR302,200_.jpg",The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.5,74403,260.00
55,56,"https://images-eu.ssl-images-amazon.com/images/I/81Gbz0XnW7L._AC_UL302_SR302,200_.jpg",Encyclopedia: Amazing Questions & Answers Science,Om Books Editorial Team,4.5,2011,139.30
56,57,"https://images-eu.ssl-images-amazon.com/images/I/7124v3KPB6L._AC_UL302_SR302,200_.jpg",My First 4 in 1 Alphabet Numbers Colours Shapes: Padded Board Books,Wonder House Books,4.3,3510,159.00
57,58,"https://images-eu.ssl-images-amazon.com/images/I/61nTspM+BYL._AC_UL302_SR302,200_.jpg",Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.5,49168,213.00
58,59,"https://images-eu.ssl-images-amazon.com/images/I/81sFNG-pBIL._AC_UL302_SR302,200_.jpg",101 Brain Booster Activity Book: Fun Activity Book For Children,Wonder House Books,4.4,4542,139.00
59,60,"https://images-eu.ssl-images-amazon.com/images/I/71XSiIb2GKL._AC_UL302_SR302,200_.jpg",How to Prepare for QUANTITATIVE APTITUDE for CAT |10th Edition | With CAT Practice Tests on Pull Marks,ARUN SHARMA,4.5,21,705.00
60,61,"https://images-eu.ssl-images-amazon.com/images/I/71Bz8NshEVL._AC_UL302_SR302,200_.jpg",THE SILENT PATIENT,Alex Michaelides,4.5,121078,240.00
61,62,"https://images-eu.ssl-images-amazon.com/images/I/61kRkfsIMUL._AC_UL302_SR302,200_.jpg",DO EPIC SHIT,Ankur Warikoo,4.5,5686,248.00
62,63,"https://images-eu.ssl-images-amazon.com/images/I/710pKlvBu+L._AC_UL302_SR302,200_.jpg","Thinking, Fast and Slow",Daniel Kahneman,4.5,17130,409.00
63,64,"https://images-eu.ssl-images-amazon.com/images/I/81StezluKUS._AC_UL302_SR302,200_.jpg",The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,4.5,14195,139.00
64,65,"https://images-eu.ssl-images-amazon.com/images/I/61Iz2yy2CKL._AC_UL302_SR302,200_.jpg",The Monk Who Sold His Ferrari,Robin Sharma,4.5,23587,171.70
65,66,"https://images-eu.ssl-images-amazon.com/images/I/81usodzGkiL._AC_UL302_SR302,200_.jpg",Objective NCERT at your Fingertips for NEET-AIIMS - Chemistry,MTG Editorial Board,4.5,894,459.00
66,67,"https://images-eu.ssl-images-amazon.com/images/I/812MAK0j5+L._AC_UL302_SR302,200_.jpg","International Mathematics Olympiad (IMO) Work Book for Class 5 - MCQs, Previous Years Solved Paper and Achievers Section - Olympiad Books For 2022-2023 Exam",MAHABIR SINGH,4.2,33,72.00
67,68,"https://images-eu.ssl-images-amazon.com/images/I/71t4dSQTibL._AC_UL302_SR302,200_.jpg",My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6,11468,749.00
68,69,"https://images-eu.ssl-images-amazon.com/images/I/61ZNAnIrwwL._AC_UL302_SR302,200_.jpg",Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,4.6,6048,166.00
69,70,"https://images-eu.ssl-images-amazon.com/images/I/412x5bm0IpL._AC_UL302_SR302,200_.jpg",TUESDAYS WITH MORRIE (EXPORT) (A FORMAT),Mitch Albom,4.6,8476,203.00
70,71,"https://images-eu.ssl-images-amazon.com/images/I/71jhniLQEMS._AC_UL302_SR302,200_.jpg","Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old",Maple Press,4.3,1297,195.00
71,72,"https://images-eu.ssl-images-amazon.com/images/I/71zytzrg6lL._AC_UL302_SR302,200_.jpg",The 5 AM Club,Robin Sharma,4.5,22016,211.00
72,73,"https://images-eu.ssl-images-amazon.com/images/I/A17fPOnXNmL._AC_UL302_SR302,200_.jpg",General Knowledge,Dr. Binay Karna,4.4,21588,158.00
73,74,"https://images-eu.ssl-images-amazon.com/images/I/817UNsZFh7L._AC_UL302_SR302,200_.jpg",My First Animal Sticker Book: Exciting Sticker Book With 100 Stickers,Wonder House Books,4.4,1069,159.00
74,75,"https://images-eu.ssl-images-amazon.com/images/I/81UhCMXi8fL._AC_UL302_SR302,200_.jpg","The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by Sudha Murty for ages 8–12: ... fiction novel by Sudha Murty for ages 8–12",Sudha Murty,4.7,6700,170.00
75,76,"https://images-eu.ssl-images-amazon.com/images/I/51oHUvYzbsL._AC_UL302_SR302,200_.jpg",The Theory Of Everything,Stephen Hawking,4.6,11341,130.00
76,77,"https://images-eu.ssl-images-amazon.com/images/I/71ZKMWgafjL._AC_UL302_SR302,200_.jpg","India, Bharat and Pakistan : The Constitutional Journey of Sandwiched Civilisation",J Sai Deepak,,,575.00
77,78,"https://images-eu.ssl-images-amazon.com/images/I/71jte84ADvL._AC_UL302_SR302,200_.jpg",VERITY,Colleen Hoover,4.3,104903,240.00
78,79,"https://images-eu.ssl-images-amazon.com/images/I/71ygf-LciIS._AC_UL302_SR302,200_.jpg","Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,4.6,7578,187.16
79,80,"https://images-eu.ssl-images-amazon.com/images/I/7138zaESFhL._AC_UL302_SR302,200_.jpg",The Girl Who Drank the Moon,Kelly Barnhill,4.5,18228,299.00
80,81,"https://images-eu.ssl-images-amazon.com/images/I/71rmxx8P2qL._AC_UL302_SR302,200_.jpg",108 Panchatantra Stories (Illustrated) for children,Maple Press,4.4,1981,80.00
81,82,"https://images-eu.ssl-images-amazon.com/images/I/71I0wCu256L._AC_UL302_SR302,200_.jpg",Be Your Own Sunshine,James Allen,4.3,1545,129.00
82,83,"https://images-eu.ssl-images-amazon.com/images/I/71YJXZhlJtL._AC_UL302_SR302,200_.jpg",MODI@20: Dreams Meet Delivery Hardcover – 1 May 2022,Sudha Murty; Arvind Panagariya; S. Jaishankar,4.6,268,350.00
83,84,"https://images-eu.ssl-images-amazon.com/images/I/61rHpL+WdJL._AC_UL302_SR302,200_.jpg",Oswaal CBSE Class 10 Social Science Chapterwise & Topicwise Question Bank Book (For 2022-23 Exam),Oswaal Editorial Board,4.4,75,440.00
84,85,"https://images-eu.ssl-images-amazon.com/images/I/81eMn5bMHxL._AC_UL302_SR302,200_.jpg",Indian Economy (English| 14th Edition) | UPSC | Civil Services Exam | State Administrative Exams,Ramesh Singh,4.5,260,546.00
85,86,"https://images-eu.ssl-images-amazon.com/images/I/71N0FI8U35L._AC_UL302_SR302,200_.jpg",Nursery Rhymes Board Book (My First Book Series): Illustrated Classic Nursery Rhymes,Wonder House Books,4.6,2260,149.00
86,87,"https://images-eu.ssl-images-amazon.com/images/I/81s6DUyQCZL._AC_UL302_SR302,200_.jpg",Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.6,24035,315.00
87,88,"https://images-eu.ssl-images-amazon.com/images/I/91n7e4ULsKL._AC_UL302_SR302,200_.jpg",Bhagvad Gita As It Is English New Edition,His Divine Grace A.C. Bhaktivedanta Swami Prabhupada,4.7,8143,220.00
88,89,"https://images-eu.ssl-images-amazon.com/images/I/81j8i9slKIL._AC_UL302_SR302,200_.jpg",World’s Greatest Classics (Box Set of 4 Books),"Jane Austen F. Scott Fitzgerald, Oscar Wilde, Emily Brontë",4.6,1304,399.00
89,90,"https://images-eu.ssl-images-amazon.com/images/I/617ni21vHsL._AC_UL302_SR302,200_.jpg",Wren And Martin -high School English Grammar,"Rao N,D,V,Prasada",4.5,9762,304.00
90,91,"https://images-eu.ssl-images-amazon.com/images/I/81evNO+JD-L._AC_UL302_SR302,200_.jpg",The Kid Who Came From Space,Ross Welford,4.5,1693,258.00
91,92,"https://images-eu.ssl-images-amazon.com/images/I/91DtbV+m2QS._AC_UL302_SR302,200_.jpg",Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.6,4322,139.00
92,93,"https://images-eu.ssl-images-amazon.com/images/I/81pu1w9queL._AC_UL302_SR302,200_.jpg",Baby Touch: Playbook,Ladybird,4.6,3488,230.00
93,94,"https://images-eu.ssl-images-amazon.com/images/I/81H9vKWZnCL._AC_UL302_SR302,200_.jpg","International Mathematics Olympiad (IMO) Work Book for Class 4 - MCQs, Previous Years Solved Paper and Achievers Section - Olympiad Books For 2022-2023 Exam",MAHABIR SINGH,4.3,49,90.00
94,95,"https://images-eu.ssl-images-amazon.com/images/I/71ox+pwkgrS._AC_UL302_SR302,200_.jpg",Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.4,10401,100.00
95,96,"https://images-eu.ssl-images-amazon.com/images/I/61n+461iagL._AC_UL302_SR302,200_.jpg",Problems In GENERAL PHYSICS,I E Irodov,4.5,4191,112.00
96,97,"https://images-eu.ssl-images-amazon.com/images/I/81ND4ZcIsxL._AC_UL302_SR302,200_.jpg",Penguin Random House The Power Of Positive Thinking,Norman Vincent Peale,4.3,6387,157.12
97,98,"https://images-eu.ssl-images-amazon.com/images/I/41wKll7ITyL._AC_UL302_SR302,200_.jpg",Who Will Cry When You Die?,Robin Sharma,4.5,16004,152.13
98,99,"https://images-eu.ssl-images-amazon.com/images/I/9173YBkMIsL._AC_UL302_SR302,200_.jpg",101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.5,6871,100.00
99,100,"https://images-eu.ssl-images-amazon.com/images/I/71Kb2dJCxWL._AC_UL302_SR302,200_.jpg","Memory: How To Develop, Train, And Use It",William Walker Atkinson,4.2,4112,109.00
100,101,"https://images-eu.ssl-images-amazon.com/images/I/81ljMdOX2yL._AC_UL302_SR302,200_.jpg","International Mathematics Olympiad (IMO) Work Book for Class 7 - MCQs, Previous Years Solved Paper and Achievers Section - Olympiad Books For 2022-2023 Exam",MAHABIR SINGH,4.5,465,85.00
101,102,"https://images-eu.ssl-images-amazon.com/images/I/91+36GLYWYL._AC_UL302_SR302,200_.jpg",Very First Sight Words Sentences Level 1,Dreamland Publications,4.5,10179,140.00
102,103,"https://images-eu.ssl-images-amazon.com/images/I/81MMToABe0L._AC_UL302_SR302,200_.jpg","International Mathematics Olympiad (IMO) Work Book for Class 2 - MCQs, Previous Years Solved Paper and Achievers Section - Olympiad Books For 2022-2023 Exam",MAHABIR SINGH,4.6,18,72.00
103,104,"https://images-eu.ssl-images-amazon.com/images/I/71UwU-b+aTS._AC_UL302_SR302,200_.jpg",Think & Grow Rich (Hindi),Napoleon Hill,4.3,4996,89.00
104,105,"https://images-eu.ssl-images-amazon.com/images/I/91oc6Hcx1ML._AC_UL302_SR302,200_.jpg",The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom,Pauline Cullen,4.4,5185,502.50
105,106,"https://images-eu.ssl-images-amazon.com/images/I/71O-FI7QApL._AC_UL302_SR302,200_.jpg","My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite ... Parts of the body and Objects Around Us.",Wonder House Books,4.5,6306,159.00
106,107,"https://images-eu.ssl-images-amazon.com/images/I/41KSs+-i1JL._AC_UL302_SR302,200_.jpg",Master Your Emotions: A Practical Guide To Overcome Negativity And Better Manage Your Feelings,Thibaut Meurisse,4.5,5586,245.00
107,108,"https://images-eu.ssl-images-amazon.com/images/I/810x4jGB9DL._AC_UL302_SR302,200_.jpg","International Mathematics Olympiad (IMO) Work Book for Class 3 - MCQs, Previous Years Solved Paper and Achievers Section - Olympiad Books For 2022-2023 Exam",MAHABIR SINGH,4.4,15,85.00
108,109,"https://images-eu.ssl-images-amazon.com/images/I/912vU-UabHL._AC_UL302_SR302,200_.jpg",Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5,12598,304.92
109,110,"https://images-eu.ssl-images-amazon.com/images/I/81sskO+r4RL._AC_UL302_SR302,200_.jpg",T.S. Grewal's Double Entry Book Keeping - Accounting for Companies (Vol.II): Textbook for CBSE Class 12 (as per 2022-23 syllabus),T.S. Grewal,4.3,35,243.00
110,111,"https://images-eu.ssl-images-amazon.com/images/I/618j74LdZkL._AC_UL302_SR302,200_.jpg","DPISZONE Sank Magic Practice Copybook, (4 BOOK + 10 REFILL) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",RAVIRANDAL,4.5,270,298.00
111,112,"https://images-eu.ssl-images-amazon.com/images/I/81Zbv-FEmwL._AC_UL302_SR302,200_.jpg",How to Prepare for VERBAL ABILITY & READING COMPREHENSION for CAT | 10th Edition | With CAT Practice Tests on Pull Marks | VARC,Arun Sharma,4.5,46,680.00
112,113,"https://images-eu.ssl-images-amazon.com/images/I/51fVNiEH-RL._AC_UL302_SR302,200_.jpg","Ponniyin Selvan(Set of all parts 1,2,3,4 & 5)",Kalki,4.5,615,495.00
113,114,"https://images-eu.ssl-images-amazon.com/images/I/51bqj+mKIWL._AC_UL302_SR302,200_.jpg",Concept of Physics by H.C Verma Part - II - Session 2022-23,H.C. Verma,4.6,8850,438.00
114,115,"https://images-eu.ssl-images-amazon.com/images/I/81gjmSfFb4L._AC_UL302_SR302,200_.jpg",Oswaal CBSE Class 10 Mathematics Standard Chapterwise & Topicwise Question Bank Book (For 2022-23 Exam),Oswaal Editorial Board,4.6,73,452.00
115,116,"https://images-eu.ssl-images-amazon.com/images/I/810FJTDkXSL._AC_UL302_SR302,200_.jpg","My First Super Boxset of Pencil Control and Patterns : Pack of 4 interactive activity books to practice Patterns, Numbers and Alphabet: A set of 4 ... to practice Patterns, Numbers and Alphabet",Wonder House Books,4.5,2393,250.00
116,117,"https://images-eu.ssl-images-amazon.com/images/I/71Tl1z3DHNL._AC_UL302_SR302,200_.jpg","Oswal - Gurukul Last Years 10 Solved Papers for CBSE Class 10 Exam 2023 - Yearwise Board Solutions of Math Standard, English, Science & Social Science (All Sets Delhi & Outside), Latest Syllabus",Oswal - Gurukul,4.4,34,626.00
117,118,"https://images-eu.ssl-images-amazon.com/images/I/51emmAYEgqL._AC_UL302_SR302,200_.jpg",UGC NET /SET/JRF Paper 1 Teaching and Research Aptitude - 2019- 2021 fully solved papers including Oct- Dec 2021 | Includes National Education Policy 2020| Sixth Edition| By Pearson,KVS Madaan,4.4,407,353.00
118,119,"https://images-eu.ssl-images-amazon.com/images/I/71jW2qrp+SL._AC_UL302_SR302,200_.jpg",Start With Why: The Inspiring Million-Copy Bestseller That Will Help You Find Your Purpose,Simon Sinek,4.5,12596,359.00
119,120,"https://images-eu.ssl-images-amazon.com/images/I/A1BOr30eM1L._AC_UL302_SR302,200_.jpg",Mathematics for Class 8 - CBSE - by R.D. Sharma Examination 2022-2023,R.D. Sharma,4.6,3428,349.00
120,121,"https://images-eu.ssl-images-amazon.com/images/I/81tEgsxpNZS._AC_UL302_SR302,200_.jpg",As a Man Thinketh,James Allen,4.4,8896,69.00
121,122,"https://images-eu.ssl-images-amazon.com/images/I/81Wcl+THtcL._AC_UL302_SR302,200_.jpg",Autobiography of a Yogi,Paramahansa Yogananda,4.6,7838,99.00
